lesson,l1_id,l1_en,l2_id,l2_en,l3_id,l3_en,count
658,387018,Push-ups,572712,Voice Training,166110,Swimming,1576
661,387018,Push-ups,387018,Push-ups,636553,Running,1456
662,387018,Push-ups,387018,Push-ups,783324,Flyer Distribution,1602
663,387018,Push-ups,387018,Push-ups,641538,Meditation,1449
664,387018,Push-ups,387018,Push-ups,435023,Dance,1527
665,387018,Push-ups,387018,Push-ups,572712,Voice Training,1644
666,387018,Push-ups,387018,Push-ups,387018,Push-ups,17998
667,387018,Push-ups,387018,Push-ups,678291,Stretching,1689
668,387018,Push-ups,387018,Push-ups,166110,Swimming,1623
671,387018,Push-ups,678291,Stretching,636553,Running,1656
672,387018,Push-ups,678291,Stretching,783324,Flyer Distribution,1512
673,387018,Push-ups,678291,Stretching,641538,Meditation,1494
674,387018,Push-ups,678291,Stretching,435023,Dance,1620
675,387018,Push-ups,678291,Stretching,572712,Voice Training,1582
676,387018,Push-ups,678291,Stretching,387018,Push-ups,1725
677,387018,Push-ups,678291,Stretching,678291,Stretching,11265
678,387018,Push-ups,678291,Stretching,166110,Swimming,1616
681,387018,Push-ups,166110,Swimming,636553,Running,1581
682,387018,Push-ups,166110,Swimming,783324,Flyer Distribution,1459
683,387018,Push-ups,166110,Swimming,641538,Meditation,1437
684,387018,Push-ups,166110,Swimming,435023,Dance,1574
685,387018,Push-ups,166110,Swimming,572712,Voice Training,1560
686,387018,Push-ups,166110,Swimming,387018,Push-ups,1668
687,387018,Push-ups,166110,Swimming,678291,Stretching,1596
688,387018,Push-ups,166110,Swimming,166110,Swimming,1611
711,678291,Stretching,636553,Running,636553,Running,1553
712,678291,Stretching,636553,Running,783324,Flyer Distribution,1567
713,678291,Stretching,636553,Running,641538,Meditation,1557
714,678291,Stretching,636553,Running,435023,Dance,1559
715,678291,Stretching,636553,Running,572712,Voice Training,1460
716,678291,Stretching,636553,Running,387018,Push-ups,1650
717,678291,Stretching,636553,Running,678291,Stretching,1559
718,678291,Stretching,636553,Running,166110,Swimming,1335
721,678291,Stretching,783324,Flyer Distribution,636553,Running,1668
722,678291,Stretching,783324,Flyer Distribution,783324,Flyer Distribution,1541
723,678291,Stretching,783324,Flyer Distribution,641538,Meditation,1557
724,678291,Stretching,783324,Flyer Distribution,435023,Dance,1610
725,678291,Stretching,783324,Flyer Distribution,572712,Voice Training,1584
726,678291,Stretching,783324,Flyer Distribution,387018,Push-ups,1506
727,678291,Stretching,783324,Flyer Distribution,678291,Stretching,1578
728,678291,Stretching,783324,Flyer Distribution,166110,Swimming,1626
731,678291,Stretching,641538,Meditation,636553,Running,1609
732,678291,Stretching,641538,Meditation,783324,Flyer Distribution,1528
733,678291,Stretching,641538,Meditation,641538,Meditation,1650
734,678291,Stretching,641538,Meditation,435023,Dance,1578
735,678291,Stretching,641538,Meditation,572712,Voice Training,1530
736,678291,Stretching,641538,Meditation,387018,Push-ups,1497
737,678291,Stretching,641538,Meditation,678291,Stretching,1590
738,678291,Stretching,641538,Meditation,166110,Swimming,1532
741,678291,Stretching,435023,Dance,636553,Running,1511
742,678291,Stretching,435023,Dance,783324,Flyer Distribution,1419
743,678291,Stretching,435023,Dance,641538,Meditation,1596
744,678291,Stretching,435023,Dance,435023,Dance,1521
745,678291,Stretching,435023,Dance,572712,Voice Training,1704
746,678291,Stretching,435023,Dance,387018,Push-ups,1652
747,678291,Stretching,435023,Dance,678291,Stretching,1488
748,678291,Stretching,435023,Dance,166110,Swimming,1524
751,678291,Stretching,572712,Voice Training,636553,Running,1523
752,678291,Stretching,572712,Voice Training,783324,Flyer Distribution,1544
753,678291,Stretching,572712,Voice Training,641538,Meditation,1546
754,678291,Stretching,572712,Voice Training,435023,Dance,1530
755,678291,Stretching,572712,Voice Training,572712,Voice Training,1470
756,678291,Stretching,572712,Voice Training,387018,Push-ups,1545
757,678291,Stretching,572712,Voice Training,678291,Stretching,1626
758,678291,Stretching,572712,Voice Training,166110,Swimming,1575
761,678291,Stretching,387018,Push-ups,636553,Running,1515
762,678291,Stretching,387018,Push-ups,783324,Flyer Distribution,1527
763,678291,Stretching,387018,Push-ups,641538,Meditation,1512
764,678291,Stretching,387018,Push-ups,435023,Dance,1503
765,678291,Stretching,387018,Push-ups,572712,Voice Training,1644
766,678291,Stretching,387018,Push-ups,387018,Push-ups,1641
767,678291,Stretching,387018,Push-ups,678291,Stretching,1530
768,678291,Stretching,387018,Push-ups,166110,Swimming,1601
771,678291,Stretching,678291,Stretching,636553,Running,1605
772,678291,Stretching,678291,Stretching,783324,Flyer Distribution,1622
773,678291,Stretching,678291,Stretching,641538,Meditation,1527
774,678291,Stretching,678291,Stretching,435023,Dance,1608
775,678291,Stretching,678291,Stretching,572712,Voice Training,1556
776,678291,Stretching,678291,Stretching,387018,Push-ups,1659
777,678291,Stretching,678291,Stretching,678291,Stretching,16259
778,678291,Stretching,678291,Stretching,166110,Swimming,1674
781,678291,Stretching,166110,Swimming,636553,Running,1535
782,678291,Stretching,166110,Swimming,783324,Flyer Distribution,1608
783,678291,Stretching,166110,Swimming,641538,Meditation,1437
784,678291,Stretching,166110,Swimming,435023,Dance,1543
785,678291,Stretching,166110,Swimming,572712,Voice Training,1619
786,678291,Stretching,166110,Swimming,387018,Push-ups,1557
787,678291,Stretching,166110,Swimming,678291,Stretching,1607
788,678291,Stretching,166110,Swimming,166110,Swimming,11335
811,166110,Swimming,636553,Running,636553,Running,1564
812,166110,Swimming,636553,Running,783324,Flyer Distribution,1434
813,166110,Swimming,636553,Running,641538,Meditation,1496
814,166110,Swimming,636553,Running,435023,Dance,1539
815,166110,Swimming,636553,Running,572712,Voice Training,1566
816,166110,Swimming,636553,Running,387018,Push-ups,1461
817,166110,Swimming,636553,Running,678291,Stretching,1578
818,166110,Swimming,636553,Running,166110,Swimming,1544
821,166110,Swimming,783324,Flyer Distribution,636553,Running,1591
822,166110,Swimming,783324,Flyer Distribution,783324,Flyer Distribution,1494
